status_id,text,coder_id,collection
x1285274153034145792,"@AmyMcGrathKY @kurtbardella As someone from a donor state to a giver state, what has Senator McConnell done to help KT's economy. And, why do KT folks vote for two Senators whose main goal is to appoint federal judges whose legal views are anti-worker &amp; pro-corporate greed.",1,Economy
x1285274158998249477,@HazyPeter @WmManry @earning_zekrom @malo_j @surgerysleeper @nico_manocchio @DelawareBarbie @commonsensejan @imkimaaron @NumbersMean @Canna420Uk @tklforgiven @NaturalBAtheist @MashingTheGas @NeverVanity @USAF_Eternally @Megavolt1 @LeannEAF @RJDownard @orna_verum @donholtmac @PeterFi98279139 @robster16a @JaTapps @umfpt @DrLazerKitty @Schmoop0521 @geraldpayne25 @michellmybell1 @Friendof_Darwin @Cindy007JCsGirl @TakeThatDarwin @ThinkerFreed @Scepticdust @Loriniowa @davestewart4444 @rw_christian @JerryHelton14 @PaulDubuisson @PittsburghTodd @Terrenc58307664 @LoveRulesAgain @Cant_Read_Maps @Janetb172 @2Cents69 @AJLane54 @OliviaC14337638 @rugbytildeath @HaircutSpock @th1rt3en_TM Here you go chimp: https://t.co/TG0qnKL85V,1,Economy
x1285274159119884289,@kyrstensinema @RepSmucker Only Trump can build economy that can also solve climate change by using Free Market System that includes all stake holders which drives innovation.Innovation only succeeds with a nation based on R Constitution which protects free thinkN.Trump undrstnds,1,Economy
x1285274163096109056,"@LasVegasLocally $8.58 Billion Merger 

$858 video production budget",1,Economy
x1285274157417213954,@QRabullione @jemelehill His attitude pisses me off sometimes but I do like his policies and the country's economy was doing well. Joe biden is embracing Bernies positions which would raise taxes.,1,Economy
x1285274171455483913,@RachelBitecofer Can he explain what jobs? What businesses are open in states shut down by people themselves not going out? This idea of instantly opening the economy is ludicrous.,1,Economy
x1285274245409370112,"@knowinglamba @Rameshwar_101 Even if the Covid hadn't occurred we still could not have a become 5 trillion economy and now in post covid world,It is not going to happen",2,Economy
x1285274221413838848,"@Onychom @earning_zekrom @malo_j @surgerysleeper @nico_manocchio @DelawareBarbie @commonsensejan @imkimaaron @NumbersMean @Canna420Uk @tklforgiven @NaturalBAtheist @MashingTheGas @NeverVanity @USAF_Eternally @Megavolt1 @LeannEAF @RJDownard @orna_verum @donholtmac @PeterFi98279139 @robster16a @JaTapps @umfpt @DrLazerKitty @Schmoop0521 @geraldpayne25 @michellmybell1 @Friendof_Darwin @Cindy007JCsGirl @TakeThatDarwin @ThinkerFreed @Scepticdust @Loriniowa @davestewart4444 @rw_christian @JerryHelton14 @PaulDubuisson @PittsburghTodd @Terrenc58307664 @HazyPeter @LoveRulesAgain @Cant_Read_Maps @Janetb172 @2Cents69 @AJLane54 @OliviaC14337638 @rugbytildeath @HaircutSpock @th1rt3en_TM Ah Yes, the Omnibus Budget Reconciliation Act of 1993: 

A top individual tax rate of 31% applied to all income over $51,900. The Act created a new bracket of 36% for income above $115,000 and 39.6% for income above $250,000.",2,Economy
x1285274191848144899,"@OrAmI29893903 @ryanunderdev @benshapiro @JohnKasich That's not even remotely true. Trump's policies have been horrible in nearly every way. 

From his tax cuts that mainly helped billionaires and large corporations, to his trade war (bad economic policy), to his constant attempts to repeal protections for LGBT people, etc.",2,Economy
x1285274196428427266,"Hosting 2 months of baseball could be a nice shot in the arm to the local economy after the decision to move the RNC.  Players, umps, out of town media will need quality food options and Uptown Charlotte has a plethora of good choices.",2,Economy
x1285274177461682177,"Like the push 2 restart schools, the M-13 distraction &amp; the Portland Gastapo, this is just Another Deflection by @realDonaldTrump 2 cover up his bungling of the US Covid crisis, the tanked US Economy, our Highest Unemployment since the Great Depression, &amp; now WAY behind Biden! https://t.co/Xr4toyBjv6",2,Education
x1285274206255616003,"On a conference call no where coworkers say 3 million #COVID19 cases don’t warrant shutting down the global economy 

Apparently many believe the numbers are fake &amp; quarantine is not necessary 

I’m just tired https://t.co/s3SRNhrwEr",2,Economy
x1285274209506283521,The Phenomenon of the Four-Day Workweek - A shorter workweek could help businesses deal with the severe economic and health crises stemming from the coronavirus pandemic. https://t.co/8RZ04gPka0,2,Economy
x1285274269686149122,@LindseyGrahamSC Don't you think that the pandemic is a greater threat to economic recovery?,3,Economy
x1285274449558806528,"@NotWoke6 @HeerJeet Even apart from that: the American economy depends on service workers. There are people right now who have to work in grocery stores, restaurants, rest stops, etc, etc, and you can’t just suggest that every single one of them gets a job where they’re safe.",3,Economy
x1285274383116902401,@Record_Politics @Daily_Record Campaigning and having these rallies does nothing to change folk’s minds to independence. An economic plan involving the creation of the lender of master resort and a Scottish currency is a starter. These questions haven’t gone away. Hating the tories isn’t reason enough.,3,Economy
x1285274463303540737,@transcotland @CyclingEdin @MathesonMichael @SustransScot @leecraigie_ @Edinburgh_CC are completely wasting #spacesforeveryone budget by closing Silverknowes Road to beach used by car day trippers &amp; NOT used by cyclists resulting in 13 less local jobs in area of huge open spaces. #forgottenpromenade #waste @scotgov @lmacinnessnp https://t.co/Q6SYkAxWhN,3,Economy
x1285274449873383431,"AOL Co-Founder Steve Case Says Next Stimulus Bill Should Help Startups 

READ MORE: https://t.co/LZ3vDxNDVj

#Billion #business #Commerce #Company #Economics #Economy #Entrepreneur #Entrepreneurship #Founder #Funding https://t.co/5pcQQ8zVTx",3,Economy
x1285274393975885833,As a major trading partner do the British &amp; Europeans want this culture with negligible human rights to have influence in he British Economy rather than the EU? https://t.co/XoIxojbB3T,3,Economy
x1285274392470192128,"For U.K.’s Minority Women, Economic Toll of Lockdown Lingers https://t.co/n5e1Yk6hC5",3,Economy
x1285274275675623436,Minnesota private schools see uptick in interest amid uncertainty over public school reopening; St. Paul police chief warns of staff cuts after budget reduction; fund set up to help north Minneapolis businesses rebuild; and more in the afternoon Glean https://t.co/jnXQwLU07d,3,Education
x1285274517330227200,@Angeleno16 @tommygirl33 @JStein_WaPo @maggieNYT Giving people money is the only thing keeping the economy from totally collapsing,4,Economy
x1285274504755847169,@cambridge_peter @Peter70156110 @ChillaxBcn @JeremyClarkson Of course that means UK products wouldn't sell in the EU crippling the UK economy which doesn't sound fine by me. And EU products will be much more expensive so that'll be doubly bad for us.,4,Economy
